,Track,Track_ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,id,duration_ms,Cluster
1039,It Ain't Over,4fNtMdGY2dYp2ODClA9CB4,0.756,0.555,2,-7.406,1,0.0355,0.0317,2.02e-06,0.295,119.974,4fNtMdGY2dYp2ODClA9CB4,228533,1
1040,Kryé Mwen,5lvKr1Tlivc0synzzGHjZ3,0.937,0.574,10,-10.38,1,0.111,0.173,0.00179,0.0855,113.006,5lvKr1Tlivc0synzzGHjZ3,301653,0
1041,Found Your Love,2ohinF8keJDshzetGAK0GX,0.823,0.74,5,-8.404,1,0.0497,0.064,0.787,0.0529,113.975,2ohinF8keJDshzetGAK0GX,349257,0
1042,Lightning,58BfShkux4f6h9D7U1T7uf,0.705,0.877,10,-5.891,1,0.0411,0.0336,0.0258,0.0945,123.018,58BfShkux4f6h9D7U1T7uf,219106,1
1043,Look Up,1W85Vi3iaLz4lCImCFtnsQ,0.835,0.742,1,-6.319,0,0.0644,0.224,0.021,0.149,103.064,1W85Vi3iaLz4lCImCFtnsQ,237787,1
1044,Television,3F4BLRDjvNV85VjUpaKr5n,0.796,0.494,7,-10.197,0,0.0424,0.194,0.215,0.142,109.994,3F4BLRDjvNV85VjUpaKr5n,351116,0
1045,Dove,20nUf0lhfWpa61V8iYdxza,0.737,0.784,0,-7.32,1,0.0408,0.223,0.444,0.0732,117.992,20nUf0lhfWpa61V8iYdxza,274320,0
1046,Problemz,7snltzeGB2v44Qb6Qvh9Um,0.66,0.718,4,-4.555,0,0.0344,0.0836,0.00485,0.571,110.013,7snltzeGB2v44Qb6Qvh9Um,184086,1
1047,Letter from an Unknown Woman (Edit),2seXVCwfDFFrQ87WR7K30M,0.65,0.469,11,-8.703,0,0.0546,0.0553,0.838,0.113,196.567,2seXVCwfDFFrQ87WR7K30M,210010,1
1048,Give Me Love - 1977,2ffCT6Pe2LYriwN2Y5ObIg,0.802,0.865,1,-6.768,0,0.0799,0.274,0.00704,0.0555,127.106,2ffCT6Pe2LYriwN2Y5ObIg,462000,2
1049,La Rua Madureira,2NTZ1nzUqueH7odDcjLq5s,0.74,0.674,11,-7.651,0,0.104,0.534,0.00769,0.355,101.977,2NTZ1nzUqueH7odDcjLq5s,221813,1
1050,La Rua Madureira,2NTZ1nzUqueH7odDcjLq5s,0.74,0.674,11,-7.651,0,0.104,0.534,0.00769,0.355,101.977,2NTZ1nzUqueH7odDcjLq5s,221813,1
1051,Busy Earnin',7f7CxGj0kzfwT1SjciL3ft,0.552,0.883,10,-5.61,0,0.0355,0.209,4.91e-06,0.0912,99.967,7f7CxGj0kzfwT1SjciL3ft,181773,1
1052,The Light,64R2n9O7Aif7YP3ivkOWYS,0.846,0.363,2,-11.565,1,0.115,0.0581,0.0988,0.105,96.005,64R2n9O7Aif7YP3ivkOWYS,272973,0
1053,Rock the Casbah - Remastered,56KqaFSGTb7ifpt16t5Y1N,0.797,0.872,9,-6.727,0,0.0575,0.291,0.0,0.284,129.885,56KqaFSGTb7ifpt16t5Y1N,222427,1
